"120610";"PARTICIPACIONES EN FONDOS MUTUOS DE INVERSION INTERNACIONALES QUE INVIERTAN EXCLUSIVAMENTE EN TITULO";" "
"120611";"PARTICIPACIONES EN FONDOS INDICE";" "
"120612";"PARTICIPACION EN FONDOS MUTUOS DE INVERSION INTERNACIONALES QUE INVIERTAN EXCLUSIVAMENTE EN RENTA VA";" "
"120613";"PARTICIPACION EN FONDOS DE INVERSION";" "
"120614";"PARTICIPACION EN FONDOS DE PENSIONES Y CESANTIAS";" "
"1208";"INVERSIONES PARA MANTENER HASTA EL VENCIMIENTO";" "
"120801";"TITULOS DE DEUDA P";" "
"120802";"TITULOS DE DEUDA P";" "
"120803";"OTROS TITULOS DE DEUDA P";" "
"120804";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR EL FOGAFIN";" "
"120805";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR EL FOGACOOP";" "
"120806";"TITULOS EMITIDOS POR EL BANCO DE LA REPUBLICA";" "
"120807";"BONOS HIPOTECARIOS";" "
"120808";"TITULOS HIPOTECARIOS";" "
"120809";"TITULOS DE CONTENIDO CREDITICIO DERIVADOS DE PROCESOS DE TITULARIZACION DE CARTERA HIPOTECARIA";" "
"120810";"TITULOS DE CONTENIDO CREDITICIO DERIVADOS DE PROCESOS DE TITULARIZACION DE SUBYACENTES DISTINTOS DE";" "
"120811";"TITULOS EMITIDOS, AVALADOS, ACEPTADOS O GARANTIZADOS POR INSTITUCIONES VIGILADAS POR LA SUPERINTENDE";" "
"120814";"TITULOS EMITIDOS POR ENTIDADES NO VIGILADAS POR LA SUPERINTENDENCIA BANCARIA (INCLUIDOS LOS BONOS OB";" "
"120815";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR GOBIERNOS EXTRANJEROS";" "
"120816";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR BANCOS CENTRALES EXTRANJEROS";" "
"120817";"TITULOS EMITIDOS, AVALADOS, GARANTIZADOS O ACEPTADOS POR BANCOS DEL EXTERIOR";" "
"120818";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR ORGANISMOS MULTILATERALES DE CR";" "
"120842";"TITULOS EMITIDOS POR RESIDENTES EN EL EXTERIOR";" "
"120895";"OTROS TITULOS";" "
"1213";"INVERSIONES DISPONIBLES PARA LA VENTA EN TITULOS DE DEUDA";" "
"121301";"TITULOS DE DEUDA P";" "
"121302";"TITULOS DE DEUDA P";" "
"121303";"OTROS TITULOS DE DEUDA P";" "
"121304";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR EL FOGAFIN";" "
"121305";"TITULOS EMITIDOS, AVALADOS O GARANTIZADOS POR EL FOGACOOP";" "
"121306";"TITULOS EMITIDOS POR EL BANCO DE LA REPUBLICA";" "
"121307";"BONOS HIPOTECARIOS";" "
"121308";"TITULOS HIPOTECARIOS";" "
"121309";"TITULOS DE CONTENIDO CREDITICIO DERIVADOS DE PROCESOS DE TITULARIZACION DE CARTERA HIPOTECARIA";" "
